objectid,subject,format,filename,date,title,NTEEC,NAICS,legal_title,ADSTREET,PHSTREET,adcity,ADSTATE,ADZIP,ADZIP5,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,TAXPER15,INCOMECD15,INCOME15,REVENUE15,longitude,latitude,AAMREG,LOCALE4,GSTREET,GCITY,GSTATE,GZIP5,
8404800735,Historical Societies,image/jpg,demo_001.jpg,2011,ACRES HOMES HISTORICAL SOCIETY,A80,,ACRES HOMES HISTORICAL SOCIETY INC,9901 GENE MAURY,,HOUSTON,TX,77088-3107,77088,,,,,2814453974,,201412,0,0,0,-95.45654,29.88542,5,1,9901 GENEMAURY ST,HOUSTON,TX,77088,
8404801762,Historical Societies,image/jpg,demo_001.jpg,2009,AFRICAN AMERICAN HERITAGE PROJECT,A80,710000,AFRICAN AMERICAN HERITAGE PROJECT,4410 CR 779,,DOUGLASS,TX,75943,75943,,,,,,HTTP://WWW.AFRICANAHERITAGE.COM,201412,0,0,0,-94.84934,31.59753,5,4,4410 COUNTY ROAD 779,DOUGLASS,TX,75943,
8404801309,Historical Societies,image/jpg,demo_001.jpg,2000,AFRICAN AMERICAN NATIONAL HERITAGE SOCIETY,A23,710000,AFRICAN AMERICAN NATIONAL HERITAGE SOCIETY,500 E PRUITT ST,,BRYAN,TX,77803-4113,77803,,,,,9797753961,HTTP://WWW.BVAAM.ORG,201312,3,60400,44710,-96.36756,30.67893,5,1,500 E PRUITT ST,BRYAN,TX,77803,
8404800864,General Museums,image/jpg,demo_001.jpg,2012,AFRICAN AMERICAN OF GRAYSON COUNTY EXPERIENCE COMMUNITY MUSEUM,A50,712110,AFRICAN AMERICAN OF GRAYSON COUNTY EXPERIENCE COMMUNITY MUS,1309 CRESTVIEW DRIVE,,ALLEN,TX,75002-2918,75002,,,,,,,201412,0,0,0,-96.60904,33.63487,5,1,PO BOX 731,SHERMAN,TX,75091,
8404801811,History Museums,image/jpg,demo_001.jpg,2002,AGRICULTURE HERITAGE MUSEUM,A54,712110,AGRICULTURE HERITAGE MUSEUM INC,102 CITY PARK ROAD,102 CITY PARK ROAD,LUBBOCK,TX,79408-0505,79408,BOERNE,TX,79408-0505,79408,8305375509,,201312,5,575182,538469,-98.69525,29.78459,5,4,102 CITY PARK ROAD,BOERNE,TX,79408,
8404800492,General Museums,image/jpg,demo_001.jpg,2006,AIR RESCUE MUSEUM,A50,712110,AIR RESCUE MUSEUM,2001 HOLCOMBE BLVD UNIT 2105,,HOUSTON,TX,77030-4217,77030,,,,,,HTTP://WWW.AIRRESCUEMUSEUM.ORG,201406,3,84335,84335,-95.38923,29.70648,5,1,2001 HOLCOMBE BLVD UNIT,HOUSTON,TX,77030,
8404801124,General Museums,image/jpg,demo_001.jpg,,AIR WAR AIR MUSEUM,,,AIR WAR AIR MUSEUM,9913 BOURBON ST,,EL PASO,TX,79924,79924,,,,,,,,,,,-106.4145,31.89704,5,1,9913 BOURBON ST,EL PASO,TX,79924,
8404802015,History Museums,image/jpg,demo_001.jpg,2005,ALAMO MISSION MUSEUM OF FRANKLIN COUNTY,A54,712110,ALAMO MISSION MUSEUM OF FRANKLIN COUNTY,1714 CR 4105 SE,,MOUNT VERNON,TX,75457,75457,,,,,9035882442,HTTP://WWW.THEALAMOMISSION.COM/,201312,0,0,0,-95.20939,33.14914,5,4,1714 CR4105,MOUNT VERNON,TX,75457,
8404801160,Historical Societies,image/jpg,demo_001.jpg,1987,ALAMO PUBLIC TELECOMMUNICATIONS COUNCIL,A32,513120,ALAMO PUBLIC TELECOMMUNICATIONS COUNCIL,501 BROADWAY,,SAN ANTONIO,TX,78215-1820,78215,,,,,,HTTP://WWW.KLRN.ORG,201309,7,5630101,5480399,-98.48508,29.43061,5,1,501 BROADWAY ST,SAN ANTONIO,TX,78215,
8404800576,General Museums,image/jpg,demo_001.jpg,1972,ALANREED-MCLEAN AREA MUSEUM,,712110,ALANREED-MCLEAN AREA MUSEUM,116 MAIN STREET,116 MAIN STREET,MCLEAN,TX,79057,79057,MCLEAN,TX,79057,79057,8067792731,,201412,0,0,0,-100.42848,34.59787,5,4,116 MAIN STREET,MCLEAN,TX,79057,
8404801435,General Museums,image/jpg,demo_001.jpg,,ALLAN SHIVERS LIBRARY AND MEMORIAL MUSEUM,A54,,ALLAN SHIVERS LIBRARY AND MEMORIAL MUSEUM,302 N CHARLTON ST,,WOODVILLE,TX,75979,75979,,,,,4092833709,HTTP://WWW.ALLANSHIVERSLIBRARY.COM,,,,,-94.41619,30.77263,5,3,302 N CHARLTON ST,WOODVILLE,TX,75979,
8404801698,Historical Societies,image/jpg,demo_001.jpg,1997,ALLEN HERITAGE GUILD,A80,712120,ALLEN HERITAGE GUILD INC,PO BOX226,,ALLEN,TX,75013-0004,75013,,,,,9727272772,HTTP://WWW.ALLENHERITAGE.ORG/,201405,0,0,0,-96.69226,33.10693,5,2,PO BOX 226,ALLEN,TX,75013,
8404800857,General Museums,image/jpg,demo_001.jpg,2006,ALTO HERALD MUSEUM,A50,712110,ALTO HERALD MUSEUM,PO BOX 517,,ALTO,TX,75925-0517,75925,,,,,,,201212,0,0,0,-95.07455,31.65025,5,4,PO BOX 517,ALTO,TX,75925,
8404801063,History Museums,image/jpg,demo_001.jpg,1978,ALVIN MUSEUM SOCIETY,A54,712110,ALVIN MUSEUM SOCIETY,302 WEST SEALY STREET,302 WEST SEALY STREET,ALVIN,TX,77512-1902,77512,ALVIN,TX,77512-1902,77512,2813314469,HTTP://WWW.ALVINMUSEUM.ORG/,201405,0,0,0,-95.24631,29.42377,5,2,302 WEST SEALY STREET,ALVIN,TX,77512,
8409400029,General Museums,image/jpg,demo_001.jpg,2014,AMARILLO HISTORICAL MUSEUM,A54,712110,AMARILLO HISTORICAL MUSEUM,1620 S JOHNSON ST,,AMARILLO,TX,79102-3103,79102,,,,,,,201312,0,0,0,-101.83217,35.19501,5,4,1620 S JOHNSON ST,AMARILLO,TX,79102,
8404801610,Historical Societies,image/jpg,demo_001.jpg,1992,AMARILLO RAILROAD MUSEUM,A82,712110,AMARILLO RAILROAD MUSEUM INC,7300 INTERSTATE 40,7300 INTERSTATE 40,AMARILLO,TX,79120-1105,79120,AMARILLO,TX,79120-1105,79120,8063353333,HTTP://WWW.AMARILLORAILMUSEUM.COM/,201412,0,0,0,-101.76271,35.22109,5,4,7300 INTERSTATE 40,AMARILLO,TX,79120,
8404801079,General Museums,image/jpg,demo_001.jpg,,AMERICA 76 HOSE COMPANY,,,AMERICA 76 HOSE CO,235 SOUTHBROOK CIR,235 SOUTHBROOK CIR,HOUSTON,TX,77060-1324,77060,HOUSTON,TX,77060-1324,77060,2818737423,,,,,,-95.4134,29.95346,5,2,235 SOUTHBROOK CIR,HOUSTON,TX,77060,
8404801178,History Museums,image/jpg,demo_001.jpg,1990,AMERICAN AIRPOWER HERITAGE FLYING MUSEUM,A54,712110,AMERICAN AIRPOWER HERITAGE FLYING MUSEUM INC,9600 WRIGHT DRIVE,9600 WRIGHT DRIVE,MIDLAND,TX,79711-2000,79711,MIDLAND,TX,79711-2000,79711,4325631000,HTTP://WWW.AIRPOWERMUSEUM.ORG/,201312,0,0,0,-102.21802,31.93443,5,4,9600 WRIGHT DRIVE,MIDLAND,TX,79711,
8404800388,General Museums,image/jpg,demo_001.jpg,,AMERICAN COWBOY MUSEUM,,,AMERICAN COWBOY MUSEUM,11822 ALMEDA RD,,HOUSTON,TX,77045,77045,,,,,7134334441,,,,,,-95.40775,29.64358,5,1,11822 ALMEDA RD,HOUSTON,TX,77045,
8404800429,Historical Societies,image/jpg,demo_001.jpg,2010,AMERICAN HERALDRY SOCIETY,A80,712120,THE AMERICAN HERALDRY SOCIETY INC,PO BOX 96503 PMB 57394,,WASHINGTON,TX,78711-3132,78711,,,,,,HTTP://WWW.AMERICANHERALDRY.ORG/,201312,0,0,0,-76.99381,38.9173,2,1,PO BOX 96503 PMB 57394,WASHINGTON,DC,20090,
8404802007,General Museums,image/jpg,demo_001.jpg,2003,AMERICAN INDIAN GENOCIDE MUSEUM,A50,712110,AMERICAN INDIAN GENOCIDE MUSEUM,4810 WALKER ST,,HOUSTON,TX,77223-0452,77223,,,,,2818413028,,201307,0,0,0,-95.32068,29.72766,5,1,PO BOX 230452,HOUSTON,TX,77223,
8404800923,General Museums,image/jpg,demo_001.jpg,1999,AMERICAN INDIAN MUSEUM OF PLANTS AND HEALING,C41,712110,AMERICAN INDIAN MUSEUM OF PLANTS AND HEALING,129 COUNTY ROAD 313,,JASPER,TX,75951-6890,75951,,,,,,HTTP://GRANTCOUNTYHISTORY.ORG,201312,0,0,0,-93.96001,30.79844,5,4,129 COUNTY ROAD 313,JASPER,TX,75951,
8404802021,General Museums,image/jpg,demo_001.jpg,,AMERICAN KICKBALL HALL OF FAME,A50,,AMERICAN KICKBALL HALL OF FAME,14213 PUNTA BONAIRE DR,14213 PUNTA BONAIRE DR,CORPUS CHRISTI,TX,78480-1225,78480,CORPUS CHRISTI,TX,78480-1225,78480,,,,,,,-97.23037,27.58431,5,1,14213 PUNTA BONAIRE DR,CORPUS CHRISTI,TX,78480,
8404801521,General Museums,image/jpg,demo_001.jpg,,AMERICAN MUSEUM OF THE MINIATURE ARTS,A51,,AMERICAN MUSEUM OF THE MINIATURE ARTS,2208 ROUTH ST,,DALLAS,TX,75201-2024,75201,,,,,2149695502,,,,,,-96.7989,32.79401,5,1,2208 ROUTH ST,DALLAS,TX,75201,
8404800355,General Museums,image/jpg,demo_001.jpg,1976,AMERICAN QUARTER HORSE HALL OF FAME AND MUSEUM,B82,812910,AMERICAN QUARTER HORSE FOUNDATION,2601 E INTERSTATE 40,,AMARILLO,TX,79104,79104,,,,,8063765181,HTTP://WWW.AQHA.COM,201309,7,8956741,7255428,-101.80145,35.15773,5,4,PO BOX 200,AMARILLO,TX,79168,
8404800361,General Museums,image/jpg,demo_001.jpg,,AMERICAN WIND POWER CENTER,,,AMERICAN WIND POWER CENTER,1701 CANYON LAKE DR,,LUBBOCK,TX,79403,79403,,,,,8067478734,HTTP://WINDMILL.COM/,,,,,-101.82705,33.58063,5,1,1701 CANYON LAKE DR,LUBBOCK,TX,79403,
8404802071,Historical Societies,image/jpg,demo_001.jpg,,AMISTAD NATIONAL RECREATION AREA,,,AMISTAD NATIONAL RECREATION AREA,4121 HIGHWAY 90 WEST,,DEL RIO,TX,78840,78840,,,,,8307757491,,,,,,-100.90277,29.37685,5,3,4121 HIGHWAY 90 WEST,DEL RIO,TX,78840,NPS
8404800905,Historical Societies,image/jpg,demo_001.jpg,,ANDERSON COUNTY HISTORICAL COMMISSION,,,FRIENDS OF THE ANDERSON COUNTY HISTORICAL COMMISSION,101 EAST OAK STREE,,PALESTINE,TX,75801,75801,,,,,,,,,,,-95.6278,31.74961,5,3,101 EAST OAK STREE,PALESTINE,TX,75801,
8404801818,Historical Societies,image/jpg,demo_001.jpg,,ANGELINA COUNTY HISTORICAL COMMISSION,A80,,FRIENDS OF THE ANGELINA COUNTY HISTORICAL COMMISSION,120 SOUTH SECOND STL,,LUFKIN,TX,75901,75901,,,,,,HTTP://WWW.ANGELINACOUNTY.NET/HISTORICALCOMMISSION/ACHCFB,,,,,-94.6887,31.32255,5,4,120 SOUTH SECOND STL,LUFKIN,TX,75901,
8404802012,Historical Societies,image/jpg,demo_001.jpg,2012,ANNA AREA HISTORIAL PRESERVATION SOCIETY,A80,,ANNA AREA HISTORIAL PRESERVATION SOCIETY,10843 CR 366,,ANNA,TX,75409,75409,,,,,9729243927,,201412,0,0,0,-96.53764,33.35079,5,4,10843 CR 366,ANNA,TX,75409,
8404800370,General Museums,image/jpg,demo_001.jpg,,ANSON-JONES MUSEUM,,,ANSON-JONES MUSEUM,1300 AVENUE K,,ANSON,TX,79501,79501,,,,,3258233683,,,,,,-99.89812,32.75422,5,4,1300 AVENUE K,ANSON,TX,79501,
8404800371,General Museums,image/jpg,demo_001.jpg,,ANTIQUIBLES DOG MUSEUM,,,ANTIQUIBLES DOG MUSEUM,94300 IH 35 N,94300 I-35 N,WACO,TX,76705,76705,WACO,TX,76705,76705,2548290120,HTTP://WWW.ANTIQUIBLES.COM,,,,,-97.10505,31.6169,5,2,94300 I-35 N,WACO,TX,76705,
8404800376,General Museums,image/jpg,demo_001.jpg,,AQUARENA CENTER,,,AQUARENA CENTER,601 UNIVERSITY AVE,,SAN MARCOS,TX,78666-4616,78666,,,,,5122457539,,,,,,-97.93778,29.8859,5,1,601 UNIVERSITY AVE,SAN MARCOS,TX,78666,
8404801149,Historical Societies,image/jpg,demo_001.jpg,1985,ARANSAS COUNTY HISTORICAL SOCIETY,A82,,ARANSAS COUNTY HISTORICAL SOCIETY,PO BOX 702,,ROCKPORT,TX,78381,78381,,,,,3617292133,HTTP://ACHS1985.ORG/,201312,0,0,0,-97.06072,28.00746,5,3,PO BOX 702,ROCKPORT,TX,78381,
8404801484,Historical Societies,image/jpg,demo_001.jpg,1978,ARLINGTON HISTORICAL SOCIETY,A54,712110,ARLINGTON HISTORICAL SOCIETY INC,1616 W ABRAM ST,,ARLINGTON,TX,76013-1709,76013,,,,,,HTTP://WWW.HISTORICALARLINGTON.ORG,201409,3,65017,62797,-97.13116,32.73493,5,1,1616 W ABRAM ST,ARLINGTON,TX,76013,
8409501326,General Museums,image/jpg,demo_001.jpg,1991,ARMSTRONG BROWNING LIBRARY AND MUSEUM,B43,611310,BAYLOR UNIVERSITY,710 SPEIGHT AVE,,WACO,TX,76706,76706,,,,,2547103566,HTTP://WWW.BROWNINGLIBRARY.ORG,201405,9,867057457,840046127,-97.12248,31.54632,5,1,1 BEAR PL UNIT 97043,WACO,TX,76798,
8404801613,History Museums,image/jpg,demo_001.jpg,1991,ARMSTRONG COUNTY MUSEUM,A54,712110,ARMSTRONG COUNTY MUSEUM,120 N TRICE ST,120 N TRICE ST,CLAUDE,TX,79019-0450,79019,CLAUDE,TX,79019-0450,79019,8062262187,HTTP://WWW.ARMSTRONGCOUNTYMUSEUM.ORG/,201306,5,597303,454495,-101.36913,35.10748,5,4,120 N TRICE ST,CLAUDE,TX,79019,
8404800372,General Museums,image/jpg,demo_001.jpg,,ART ON TEXAS AVENUE,,,ART ON TEXAS AVENUE,1506 TEXAS AVE,,LUBBOCK,TX,79401,79401,,,,,8067452687,HTTP://WWW.ARTONTEXAS.COM/,,,,,-101.84572,33.58161,5,1,1506 TEXAS AVE,LUBBOCK,TX,79401,
8404801639,General Museums,image/jpg,demo_001.jpg,1992,ARTS ON TAP,A62,711120,ARTS ON TAP INC,1628 5TH AVE,,FORT WORTH,TX,76104-4324,76104,,,,,8179239500,HTTP://WWW.ARTSFIFTHAVENUE.ORG,201308,4,158430,0,-97.33924,32.72727,5,1,1628 5TH AVE,FORT WORTH,TX,76104,
8404800783,Historical Societies,image/jpg,demo_001.jpg,2000,ASSOCIATION FOR THE PRESERVATION OF BLEDSOE SCHOOLS,A80,,ASSOCIATION FOR THE PRESERVATION OF BLEDSOE SCHOOLS,PO BOX 98,,BLEDSOE,TX,79314-0098,79314,,,,,,,201312,0,0,0,-102.87506,33.63888,5,4,PO BOX 98,BLEDSOE,TX,79314,
8404801042,Historical Societies,image/jpg,demo_001.jpg,1976,ATASCOSITO HISTORICAL SOCIETY,A82,,ATASCOSITO HISTORICAL SOCIETY,PO BOX 4003,,LIBERTY,TX,77575-2203,77575,,,,,,,201401,2,13426,13426,-94.79338,30.09133,5,4,PO BOX 4003,LIBERTY,TX,77575,
8404800631,Historical Societies,image/jpg,demo_001.jpg,2008,ATHENS HISTORICAL PRESERVATION,A80,,ATHENS HISTORICAL PRESERVATION INC,PO BOX 350,PO BOX 350,ATHENS,TX,75751-0350,75751,ATHENS,TX,75751-0350,75751,,,201312,0,0,0,-95.86636,32.19166,5,3,PO BOX 350,ATHENS,TX,75751,
8404800383,Historical Societies,image/jpg,demo_001.jpg,,ATLANTA HISTORICAL MUSEUM,,,ATLANTA HISTORICAL MUSEUM,101 N EAST ST,,ATLANTA,TX,75551,75551,,,,,9037961892,HTTP://WWW.ATLANTATEXAS.ORG/CITY/ATLANTA-HISTORICAL-MUSEUM.HTML,,,,,-94.16537,33.11411,5,3,101 N EAST ST,ATLANTA,TX,75551,
8409400056,General Museums,image/jpg,demo_001.jpg,2014,AUBREY AREA MUSEUM,A50,712110,AUBREY AREA MUSEUM,PO BOX 234,,AUBREY,TX,76227-0234,76227,,,,,,,201312,2,13693,7901,-96.98502,33.25701,5,4,PO BOX 234,AUBREY,TX,76227,
8409501333,General Museums,image/jpg,demo_001.jpg,,AUDIE L. MURPHY GUN MUSEUM,,,AUDIE L. MURPHY GUN MUSEUM,600 INTERSTATE HIGHWAY 30,,HILLSBORO,TX,75401,75401,,,,,9034541990,HTTP://COTTONMUSEUM.COM,,,,,-96.11017,33.14223,5,3,600 INTERSTATE HIGHWAY 30,HILLSBORO,TX,75401,
8404801577,General Museums,image/jpg,demo_001.jpg,1987,AUDIE MURPHY AMERICAN COTTON MUSEUM,A50,712110,AUDIE MURPHY AMERICAN COTTON MUSEUM INC,600 INTERSTATE 30 FRONTAGE ROAD,600 INTERSTATE 30 FRONTAGE ROAD,GREENVILLE,TX,75403-0347,75403,GREENVILLE,TX,75403-0347,75403,9034504502,HTTP://WWW.COTTONMUSEUM.COM/,201409,4,182795,159710,-96.10913,33.13867,5,3,600 INTERSTATE 30 FRONTAGE ROAD,GREENVILLE,TX,75403,
8404801216,Historical Societies,image/jpg,demo_001.jpg,1992,AUSTIN CIVIL WAR ROUND TABLE,A80,712120,AUSTIN CIVIL WAR ROUND TABLE,12212 BRIGADOON LANE 163,12212 BRIGADOON LANE #163,AUSTIN,TX,78727-5346,78727,AUSTIN,TX,78727-5346,78727,,HTTP://AUSTINCIVILWAR.ORG/,201412,0,0,0,-97.72039,30.41849,5,1,12212 BRIGADOON LANE #163,AUSTIN,TX,78727,
8404801910,General Museums,image/jpg,demo_001.jpg,,AUSTIN COUNTY MUSEUM ASSOCIATION,,,AUSTIN COUNTY MUSEUM ASSOCIATION INC,PO BOX 552,,BELLVILLE,TX,77418,77418,,,,,,,,,,,-96.25434,29.97214,5,4,PO BOX 552,BELLVILLE,TX,77418,
8404801078,Historical Societies,image/jpg,demo_001.jpg,1983,AUSTIN CZECH HISTORICAL ASSOCIATION,,710000,THE AUSTIN CZECH HISTORICAL ASSOCIATION,8527 ADIRONDACK TRAIL,,AUSTIN,TX,78759-7875,78759,,,,,5123458193,HTTP://WWW.AUSTINCZECHS.COM/INDEX.HTML,201309,0,0,0,-97.76179,30.38319,5,1,8527 ADIRONDACK TRL,AUSTIN,TX,78759,
8404801106,History Museums,image/jpg,demo_001.jpg,1981,AUSTIN HISTORY CENTER ASSOCIATION,A54,712120,AUSTIN HISTORY CENTER ASSOCIATION INC,810 GUADALUPE ST,810 GUADALUPE ST,AUSTIN,TX,78768-2287,78768,AUSTIN,TX,78768-2287,78768,5129747480,HTTP://WWW.AHCA.NET,201405,3,89462,89462,-97.74567,30.2709,5,1,810 GUADALUPE ST,AUSTIN,TX,78768,
8404800538,General Museums,image/jpg,demo_001.jpg,2006,AUSTIN MCCLOUD APPELLATE COURT MUSEUM FOUNDATION,A50,712110,AUSTIN MCCLOUD APPELLATE COURTMUSEUM FOUNDATION,109 N LAMAR ST,,EASTLAND,TX,76448-1817,76448,,,,,2546310311,,201312,0,0,0,-98.81894,32.40184,5,3,109 N LAMAR ST,EASTLAND,TX,76448,
8404801282,General Museums,image/jpg,demo_001.jpg,2000,AUSTIN MUSEUM OF DIGITAL ART,A50,712110,AUSTIN MUSEUM OF DIGITAL ART INC,3809 W 35TH STREET,3809 W 35TH STREET,AUSTIN,TX,78703-0003,78703,AUSTIN,TX,78703-0003,78703,5124588191,HTTP://WWW.THECONTEMPORARYAUSTIN.ORG/,201312,0,0,0,-97.77172,30.31302,5,1,3809 W 35TH STREET,AUSTIN,TX,78703,
8404801297,General Museums,image/jpg,demo_001.jpg,2001,AUSTIN MUSEUM PARTNERSHIP,A50,712110,AUSTIN MUSEUM PARTNERSHIP INC,PO BOX 217,,AUSTIN,TX,78703-0030,78703,,,,,,HTTP://WWW.AUSTINMUSEUMS.ORG/,201412,0,0,0,-97.75943,30.28109,5,1,PO BOX 301767,AUSTIN,TX,78703,
8404800639,General Museums,image/jpg,demo_001.jpg,2008,AUSTIN ROCK AND ROLL CAR MUSEUM,A50,712110,AUSTIN ROCK AND ROLL CAR MUSEUM INC,409 W MONROE ST,409 MONROE ST W,AUSTIN,TX,78704-3025,78704,AUSTIN,TX,78704-3025,78704,5123831660,,201312,3,32000,,-97.75408,30.24875,5,1,409 MONROE ST W,AUSTIN,TX,78704,
8404801177,Historical Societies,image/jpg,demo_001.jpg,1990,AUSTIN STEAM TRAIN ASSOCIATION,A82,712120,AUSTIN STEAM TRAIN ASSOCIATION INCORPORATED,401 WHITESTONE BLVD A-103,,CEDAR PARK,TX,78613-9052,78613,,,,,5124778468,HTTP://WWW.AUSTINSTEAMTRAIN.ORG,201312,6,1371979,1371979,-97.83447,30.52042,5,2,401 E WHITESTONE BLVD ST,CEDAR PARK,TX,78613,
8404800393,General Museums,image/jpg,demo_001.jpg,,AVIATION HERITAGE MUSEUM,,,AVIATION HERITAGE MUSEUM,777 TAYLOR ST,,FORT WORTH,TX,76102,76102,,,,,8175511967,,,,,,-97.33228,32.7517,5,1,777 TAYLOR ST,FORT WORTH,TX,76102,
8404801821,General Museums,image/jpg,demo_001.jpg,2003,AVIATION MUSEUM AT GARNER FIELD,A50,712110,AVIATION MUSEUM AT GARNER FIELD INC,201 SUL ROSS BLVD,,UVALDE,TX,78802-0453,78802,,,,,8302782552,,201412,0,0,0,-99.78561,29.20805,5,3,PO BOX 453,UVALDE,TX,78802,
